section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Declarations,Theorem,False,Extract_Schedule_Prepared_correct,465,484,20,Extract_Schedule_Prepared_correct,473,484,12,10,10,1,scheduler'_correct,0,,0,0,0,0,,0,False,zero-reference
Declarations,Definition,False,checked_tiling_validate,486,486,1,checked_tiling_validate,,,0,0,0,0,,2,checked_tiling_current_view_prepared_codegen_correct;checked_tiling_validate_correct,0,2,0,2,driver/CPolOpt.v;syntax/STilingOpt.v,11,True,confirmed-external
Declarations,Definition,False,to_tiling_pprog,487,487,1,to_tiling_pprog,,,0,0,0,0,,0,,1,1,0,0,,3,False,bare-external-candidate
Declarations,Definition,False,outer_to_tiling_pprog,488,488,1,outer_to_tiling_pprog,,,0,0,0,0,,0,,1,1,0,7,src/TilingBandDirectRuntime.v;syntax/STilingOpt.v,29,True,confirmed-external
Declarations,Definition,False,check_pprog_tiling_sourceb,489,490,2,check_pprog_tiling_sourceb,,,0,0,0,0,,0,,1,1,0,18,src/TilingBandDirectRuntime.v;src/TilingBandMixedSecondValidator.v;src/TilingBandPhaseScalarValidator.v;syntax/STilingOpt.v,43,True,confirmed-external
Declarations,Definition,False,check_wf_polyprog,491,491,1,check_wf_polyprog,,,0,0,0,0,,2,try_checked_iss_identity_tiling_generic_phase_pipeline_from_poly;try_checked_iss_phase_pipeline_from_poly,1,3,0,12,driver/ParallelPolOpt.v;driver/PolOptBandTiling.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v,8,True,confirmed-external
Declarations,Definition,False,check_wf_polyprog_affine_correct,492,493,2,check_wf_polyprog_affine_correct,,,0,0,0,0,,0,,1,1,0,10,driver/ParallelPolOptCorrect.v;driver/PolOptBandTiling.v;driver/PolOptCorrect.v;driver/PolOptIdentityGenericISS.v,7,True,confirmed-external
Declarations,Definition,False,check_wf_polyprog_correct,494,494,1,check_wf_polyprog_correct,,,0,0,0,0,,0,,1,1,0,0,,3,False,bare-external-candidate
Declarations,Definition,False,check_wf_polyprog_general,495,495,1,check_wf_polyprog_general,,,0,0,0,0,,0,,1,1,0,13,driver/ParallelPolOpt.v;driver/PolOptBandTiling.v;driver/PolOptCanonicalTiling.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v,5,True,confirmed-external
Declarations,Definition,False,EqDom,496,496,1,EqDom,,,0,0,0,0,,0,,1,1,0,0,,8,False,bare-external-candidate
